x utau delta99 delta* theta beta Ue Reth 
2.00683594e+02 5.04085370e-02 8.31457093e+00 1.56114447e+00 9.88190439e-01 1.12099744e-01 9.78792878e-01 4.35255194e+02
2.02148438e+02 5.03419550e-02 8.34669851e+00 1.56802719e+00 9.92644969e-01 1.14358936e-01 9.78486873e-01 4.37080533e+02
2.03613281e+02 5.02755290e-02 8.37864179e+00 1.57496884e+00 9.97136415e-01 1.16706651e-01 9.78184471e-01 4.38922510e+02
2.05078125e+02 5.02088729e-02 8.41033924e+00 1.58195761e+00 1.00165526e+00 1.19145013e-01 9.77884076e-01 4.40776229e+02
2.06542969e+02 5.01436196e-02 8.44384111e+00 1.59173715e+00 1.00893082e+00 1.21880148e-01 9.77580991e-01 4.43840216e+02
2.08007812e+02 5.00801181e-02 8.47798602e+00 1.59855058e+00 1.01334680e+00 1.24336794e-01 9.77229436e-01 4.45622545e+02
2.09472656e+02 5.00166527e-02 8.51168948e+00 1.60541317e+00 1.01779130e+00 1.26782820e-01 9.76879202e-01 4.47416618e+02
2.10937500e+02 4.99524462e-02 8.54517538e+00 1.61233941e+00 1.02227321e+00 1.29281950e-01 9.76532117e-01 4.49227178e+02
2.12402344e+02 4.98881388e-02 8.57841774e+00 1.61932433e+00 1.02678980e+00 1.31899129e-01 9.76187476e-01 4.51052703e+02
2.13867188e+02 4.98237472e-02 8.61123008e+00 1.62635147e+00 1.03133046e+00 1.34546831e-01 9.75843060e-01 4.52887503e+02
2.15332031e+02 4.97596091e-02 8.64377401e+00 1.63343558e+00 1.03590530e+00 1.37195625e-01 9.75500782e-01 4.54736895e+02
2.16796875e+02 4.96960155e-02 8.67623042e+00 1.64059120e+00 1.04052390e+00 1.39894518e-01 9.75162557e-01 4.56605978e+02
2.18261719e+02 4.96325232e-02 8.70854132e+00 1.64780915e+00 1.04517920e+00 1.42649938e-01 9.74827175e-01 4.58491089e+02
2.19726562e+02 4.95686108e-02 8.74063886e+00 1.65508426e+00 1.04986528e+00 1.45443545e-01 9.74493909e-01 4.60389296e+02
2.21191406e+02 4.95039864e-02 8.77401211e+00 1.66523308e+00 1.05736975e+00 1.48623958e-01 9.74164397e-01 4.63523383e+02
2.22656250e+02 4.94392860e-02 8.80874737e+00 1.67234674e+00 1.06195606e+00 1.51450242e-01 9.73781293e-01 4.65350826e+02
2.24121094e+02 4.93741557e-02 8.84318631e+00 1.67951923e+00 1.06657706e+00 1.54326154e-01 9.73399632e-01 4.67192572e+02
2.25585938e+02 4.93086174e-02 8.87727216e+00 1.68674806e+00 1.07123121e+00 1.57288960e-01 9.73018948e-01 4.69047720e+02
2.27050781e+02 4.92440240e-02 8.91097993e+00 1.69403209e+00 1.07591897e+00 1.60262025e-01 9.72639016e-01 4.70916345e+02
2.28515625e+02 4.91804867e-02 8.94437745e+00 1.70137648e+00 1.08064270e+00 1.63255489e-01 9.72260451e-01 4.72799771e+02
2.29980469e+02 4.91175849e-02 8.97760992e+00 1.70879127e+00 1.08540806e+00 1.66346489e-01 9.71884438e-01 4.74701043e+02
2.31445312e+02 4.90554383e-02 9.01071248e+00 1.71627877e+00 1.09021818e+00 1.69493297e-01 9.71511153e-01 4.76621604e+02
2.32910156e+02 4.89939400e-02 9.04358201e+00 1.72383054e+00 1.09506778e+00 1.72660542e-01 9.71139425e-01 4.78558572e+02
2.34375000e+02 4.89338766e-02 9.07630050e+00 1.73145150e+00 1.09995975e+00 1.75834878e-01 9.70769835e-01 4.80513484e+02
2.35839844e+02 4.88758516e-02 9.11015126e+00 1.74206698e+00 1.10776669e+00 1.79470506e-01 9.70414345e-01 4.83746709e+02
2.37304688e+02 4.88181350e-02 9.14610327e+00 1.74957814e+00 1.11260101e+00 1.82696183e-01 9.69999965e-01 4.85650323e+02
2.38769531e+02 4.87585691e-02 9.18171892e+00 1.75715781e+00 1.11747444e+00 1.85980479e-01 9.69586749e-01 4.87569783e+02
2.40234375e+02 4.86963499e-02 9.21699915e+00 1.76480623e+00 1.12238532e+00 1.89337039e-01 9.69174633e-01 4.89504320e+02
2.41699219e+02 4.86325092e-02 9.25200892e+00 1.77252607e+00 1.12733564e+00 1.92773684e-01 9.68763900e-01 4.91454930e+02
2.43164062e+02 4.85680450e-02 9.28665976e+00 1.78030636e+00 1.13231758e+00 1.96256674e-01 9.68353248e-01 4.93417532e+02
2.44628906e+02 4.85029017e-02 9.32091880e+00 1.78814251e+00 1.13732783e+00 1.99791534e-01 9.67942156e-01 4.95390400e+02
2.46093750e+02 4.84367246e-02 9.35487243e+00 1.79604065e+00 1.14237081e+00 2.03438136e-01 9.67531366e-01 4.97375815e+02
2.47558594e+02 4.83695540e-02 9.38856004e+00 1.80400180e+00 1.14744636e+00 2.07157461e-01 9.67120975e-01 4.99373748e+02
2.49023438e+02 4.83024738e-02 9.42203629e+00 1.81203066e+00 1.15255657e+00 2.10899522e-01 9.66711484e-01 5.01385351e+02
2.50488281e+02 4.82359173e-02 9.45638734e+00 1.82310258e+00 1.16062275e+00 2.15198509e-01 9.66315132e-01 5.04687295e+02
2.51953125e+02 4.81700020e-02 9.49265332e+00 1.83098317e+00 1.16564221e+00 2.19035243e-01 9.65855571e-01 5.06628912e+02
2.53417969e+02 4.81047813e-02 9.52873317e+00 1.83894634e+00 1.17071054e+00 2.22871727e-01 9.65397701e-01 5.08590568e+02
2.54882812e+02 4.80404551e-02 9.56462143e+00 1.84699316e+00 1.17582759e+00 2.26769871e-01 9.64941487e-01 5.10572171e+02
2.56347656e+02 4.79767162e-02 9.60027967e+00 1.85511878e+00 1.18098982e+00 2.30725067e-01 9.64486294e-01 5.12571821e+02
2.57812500e+02 4.79124450e-02 9.63567033e+00 1.86332026e+00 1.18619350e+00 2.34759070e-01 9.64031750e-01 5.14587690e+02
2.59277344e+02 4.78473166e-02 9.67074344e+00 1.87159545e+00 1.19143587e+00 2.38911995e-01 9.63577603e-01 5.16618414e+02
