x utau delta99 delta* theta beta Ue Reth 
2.00683594e+02 5.14841867e-02 8.20007194e+00 1.51140055e+00 9.59598456e-01 4.73623327e-02 9.88775901e-01 4.26972522e+02
2.02148438e+02 5.14262279e-02 8.22927805e+00 1.51739671e+00 9.63537534e-01 4.86686395e-02 9.88610853e-01 4.28653648e+02
2.03613281e+02 5.13693792e-02 8.25819601e+00 1.52342137e+00 9.67494118e-01 4.99938922e-02 9.88448083e-01 4.30342967e+02
2.05078125e+02 5.13132967e-02 8.28688999e+00 1.52947774e+00 9.71468757e-01 5.13293319e-02 9.88288028e-01 4.32040924e+02
2.06542969e+02 5.12572732e-02 8.31735160e+00 1.53845435e+00 9.78319758e-01 5.28374960e-02 9.88132522e-01 4.35019307e+02
2.08007812e+02 5.12008009e-02 8.34882100e+00 1.54435435e+00 9.82200037e-01 5.41899470e-02 9.87930139e-01 4.36655258e+02
2.09472656e+02 5.11444220e-02 8.37985504e+00 1.55028218e+00 9.86097568e-01 5.55850435e-02 9.87729182e-01 4.38298805e+02
2.10937500e+02 5.10888071e-02 8.41049370e+00 1.55623992e+00 9.90015357e-01 5.70210789e-02 9.87529902e-01 4.39951396e+02
2.12402344e+02 5.10341059e-02 8.44076365e+00 1.56222786e+00 9.93953666e-01 5.84622535e-02 9.87332291e-01 4.41613147e+02
2.13867188e+02 5.09802410e-02 8.47073153e+00 1.56824757e+00 9.97912793e-01 5.99246661e-02 9.87136543e-01 4.43284283e+02
2.15332031e+02 5.09271452e-02 8.50045909e+00 1.57430118e+00 1.00189324e+00 6.14311567e-02 9.86942921e-01 4.44965150e+02
2.16796875e+02 5.08745967e-02 8.52997141e+00 1.58039049e+00 1.00589521e+00 6.29593936e-02 9.86751607e-01 4.46655919e+02
2.18261719e+02 5.08217225e-02 8.55929216e+00 1.58651753e+00 1.00991878e+00 6.44970569e-02 9.86562815e-01 4.48356740e+02
2.19726562e+02 5.07677271e-02 8.58843184e+00 1.59268183e+00 1.01396271e+00 6.60707453e-02 9.86376422e-01 4.50067008e+02
2.21191406e+02 5.07131371e-02 8.61737173e+00 1.59888043e+00 1.01802475e+00 6.76692185e-02 9.86191953e-01 4.51785518e+02
2.22656250e+02 5.06587798e-02 8.64610446e+00 1.60511337e+00 1.02210522e+00 6.92791107e-02 9.86009334e-01 4.53512381e+02
2.24121094e+02 5.06050402e-02 8.67763797e+00 1.61424053e+00 1.02906606e+00 7.10913937e-02 9.85815165e-01 4.56511018e+02
2.25585938e+02 5.05516372e-02 8.70913465e+00 1.62032872e+00 1.03306289e+00 7.27560776e-02 9.85590721e-01 4.58179738e+02
2.27050781e+02 5.04983408e-02 8.74031099e+00 1.62645385e+00 1.03708152e+00 7.44532613e-02 9.85367749e-01 4.59858006e+02
2.28515625e+02 5.04452309e-02 8.77119044e+00 1.63261638e+00 1.04112233e+00 7.61745531e-02 9.85146238e-01 4.61545985e+02
2.29980469e+02 5.03926335e-02 8.80180532e+00 1.63881864e+00 1.04518720e+00 7.79184930e-02 9.84926404e-01 4.63244611e+02
2.31445312e+02 5.03409455e-02 8.83220248e+00 1.64506435e+00 1.04927896e+00 7.96729655e-02 9.84708658e-01 4.64955333e+02
2.32910156e+02 5.02897515e-02 8.86240225e+00 1.65135312e+00 1.05339692e+00 8.14521412e-02 9.84492903e-01 4.66677808e+02
2.34375000e+02 5.02387148e-02 8.89242399e+00 1.65768502e+00 1.05754070e+00 8.32559166e-02 9.84279103e-01 4.68411843e+02
2.35839844e+02 5.01881563e-02 8.92230058e+00 1.66406212e+00 1.06171193e+00 8.50973353e-02 9.84067479e-01 4.70158280e+02
2.37304688e+02 5.01382008e-02 8.95207448e+00 1.67048712e+00 1.06591283e+00 8.70093873e-02 9.83858353e-01 4.71918259e+02
2.38769531e+02 5.00890850e-02 8.98175611e+00 1.67696165e+00 1.07014483e+00 8.89576339e-02 9.83651883e-01 4.73692488e+02
2.40234375e+02 5.00406873e-02 9.01130210e+00 1.68348175e+00 1.07440447e+00 9.09165641e-02 9.83447454e-01 4.75479155e+02
2.41699219e+02 4.99923565e-02 9.04430756e+00 1.69285336e+00 1.08153768e+00 9.31320599e-02 9.83213802e-01 4.78522248e+02
2.43164062e+02 4.99434222e-02 9.07612812e+00 1.69919751e+00 1.08569214e+00 9.51588118e-02 9.82961927e-01 4.80237319e+02
2.44628906e+02 4.98938288e-02 9.10758708e+00 1.70557948e+00 1.08986698e+00 9.72174973e-02 9.82710292e-01 4.81960576e+02
2.46093750e+02 4.98435193e-02 9.13871001e+00 1.71200001e+00 1.09406196e+00 9.92995713e-02 9.82458933e-01 4.83691926e+02
2.47558594e+02 4.97920110e-02 9.16950662e+00 1.71845893e+00 1.09827645e+00 1.01432815e-01 9.82207726e-01 4.85431026e+02
2.49023438e+02 4.97396338e-02 9.20006186e+00 1.72496404e+00 1.10251672e+00 1.03601386e-01 9.81957561e-01 4.87181085e+02
2.50488281e+02 4.96880544e-02 9.23043524e+00 1.73151893e+00 1.10678680e+00 1.05789047e-01 9.81708843e-01 4.88944073e+02
2.51953125e+02 4.96380850e-02 9.26064015e+00 1.73812195e+00 1.11108596e+00 1.08042550e-01 9.81461335e-01 4.90719560e+02
2.53417969e+02 4.95888136e-02 9.29066714e+00 1.74477061e+00 1.11541252e+00 1.10376139e-01 9.81214685e-01 4.92506613e+02
2.54882812e+02 4.95403690e-02 9.32054297e+00 1.75146604e+00 1.11976808e+00 1.12746452e-01 9.80968978e-01 4.94305985e+02
2.56347656e+02 4.94932300e-02 9.35033708e+00 1.75821339e+00 1.12415692e+00 1.15126796e-01 9.80724777e-01 4.96119843e+02
2.57812500e+02 4.94468962e-02 9.38140289e+00 1.76808174e+00 1.13160056e+00 1.17820636e-01 9.80491275e-01 4.99286015e+02
2.59277344e+02 4.94004615e-02 9.41384290e+00 1.77468312e+00 1.13591005e+00 1.20270261e-01 9.80202885e-01 5.01040039e+02
2.60742188e+02 4.93534716e-02 9.44603259e+00 1.78133648e+00 1.14025177e+00 1.22727639e-01 9.79915156e-01 5.02807497e+02
2.62207031e+02 4.93056557e-02 9.47798774e+00 1.78804276e+00 1.14462575e+00 1.25244281e-01 9.79628145e-01 5.04588420e+02
