x utau delta99 delta* theta beta Ue Reth 
2.00683594e+02 5.10136848e-02 8.28884238e+00 1.53890232e+00 9.76317710e-01 5.90399757e-02 9.87102520e-01 4.33676552e+02
2.02148438e+02 5.09563099e-02 8.31737795e+00 1.54507139e+00 9.80346187e-01 6.07027176e-02 9.86925941e-01 4.35388087e+02
2.03613281e+02 5.08987998e-02 8.34576740e+00 1.55127896e+00 9.84397404e-01 6.24017153e-02 9.86751657e-01 4.37110096e+02
2.05078125e+02 5.08419344e-02 8.37692230e+00 1.56011643e+00 9.91074350e-01 6.42521816e-02 9.86562129e-01 4.39990389e+02
2.06542969e+02 5.07861554e-02 8.40770021e+00 1.56619519e+00 9.95055207e-01 6.60000227e-02 9.86346989e-01 4.41661368e+02
2.08007812e+02 5.07308995e-02 8.43824293e+00 1.57231666e+00 9.99063449e-01 6.77806879e-02 9.86133864e-01 4.43344634e+02
2.09472656e+02 5.06762264e-02 8.46855606e+00 1.57848152e+00 1.00309921e+00 6.95769490e-02 9.85922730e-01 4.45040241e+02
2.10937500e+02 5.06228665e-02 8.49863122e+00 1.58468849e+00 1.00716099e+00 7.14058861e-02 9.85713315e-01 4.46747397e+02
2.12402344e+02 5.05706427e-02 8.52844785e+00 1.59093366e+00 1.01124518e+00 7.32761242e-02 9.85505013e-01 4.48464239e+02
2.13867188e+02 5.05188679e-02 8.55802035e+00 1.59721772e+00 1.01535200e+00 7.51948412e-02 9.85297833e-01 4.50190857e+02
2.15332031e+02 5.04674383e-02 8.58734524e+00 1.60354008e+00 1.01948115e+00 7.71697676e-02 9.85091571e-01 4.51927031e+02
2.16796875e+02 5.04158004e-02 8.61639923e+00 1.60989683e+00 1.02363043e+00 7.91899802e-02 9.84885590e-01 4.53671486e+02
2.18261719e+02 5.03644706e-02 8.64524836e+00 1.61629259e+00 1.02780398e+00 8.12394673e-02 9.84680415e-01 4.55426300e+02
2.19726562e+02 5.03142166e-02 8.67396924e+00 1.62273434e+00 1.03200601e+00 8.33472857e-02 9.84476911e-01 4.57193741e+02
2.21191406e+02 5.02643484e-02 8.70572993e+00 1.63179361e+00 1.03884074e+00 8.56424359e-02 9.84246856e-01 4.60114080e+02
2.22656250e+02 5.02144388e-02 8.73641136e+00 1.63808500e+00 1.04295331e+00 8.77959918e-02 9.83997564e-01 4.61818583e+02
2.24121094e+02 5.01643073e-02 8.76678892e+00 1.64441611e+00 1.04708674e+00 8.99808119e-02 9.83748119e-01 4.63531327e+02
2.25585938e+02 5.01137822e-02 8.79695992e+00 1.65079472e+00 1.05124533e+00 9.22078977e-02 9.83499366e-01 4.65254603e+02
2.27050781e+02 5.00628645e-02 8.82696781e+00 1.65722593e+00 1.05543201e+00 9.44589837e-02 9.83251833e-01 4.66989956e+02
2.28515625e+02 5.00114245e-02 8.85683063e+00 1.66371188e+00 1.05964798e+00 9.67542191e-02 9.83005674e-01 4.68737987e+02
2.29980469e+02 4.99588244e-02 8.88656960e+00 1.67025414e+00 1.06389440e+00 9.91300399e-02 9.82760976e-01 4.70499256e+02
2.31445312e+02 4.99046633e-02 8.91617748e+00 1.67685136e+00 1.06817115e+00 1.01583523e-01 9.82517476e-01 4.72273569e+02
2.32910156e+02 4.98496102e-02 8.94567367e+00 1.68350346e+00 1.07247952e+00 1.04116398e-01 9.82275129e-01 4.74061481e+02
2.34375000e+02 4.97943950e-02 8.97503537e+00 1.69020683e+00 1.07681802e+00 1.06736040e-01 9.82033407e-01 4.75862070e+02
2.35839844e+02 4.97396044e-02 9.00427277e+00 1.69696095e+00 1.08118681e+00 1.09423725e-01 9.81792167e-01 4.77675332e+02
2.37304688e+02 4.96855373e-02 9.03685565e+00 1.70636896e+00 1.08822992e+00 1.12384804e-01 9.81521653e-01 4.80654555e+02
2.38769531e+02 4.96318810e-02 9.06845072e+00 1.71300840e+00 1.09253960e+00 1.15148451e-01 9.81236959e-01 4.82418104e+02
2.40234375e+02 4.95785158e-02 9.09991310e+00 1.71970666e+00 1.09688613e+00 1.17988554e-01 9.80952893e-01 4.84197131e+02
2.41699219e+02 4.95257368e-02 9.13123219e+00 1.72646428e+00 1.10126883e+00 1.20857038e-01 9.80669368e-01 4.85991275e+02
2.43164062e+02 4.94727165e-02 9.16242923e+00 1.73328421e+00 1.10568859e+00 1.23771729e-01 9.80386589e-01 4.87801018e+02
2.44628906e+02 4.94185537e-02 9.19347893e+00 1.74016248e+00 1.11014250e+00 1.26803210e-01 9.80103952e-01 4.89624774e+02
2.46093750e+02 4.93641896e-02 9.22437121e+00 1.74709644e+00 1.11463017e+00 1.29927439e-01 9.79821019e-01 4.91462131e+02
2.47558594e+02 4.93106314e-02 9.25512980e+00 1.75408927e+00 1.11915482e+00 1.33100102e-01 9.79538021e-01 4.93314613e+02
2.49023438e+02 4.92581178e-02 9.28576521e+00 1.76114446e+00 1.12371851e+00 1.36291963e-01 9.79255208e-01 4.95183242e+02
2.50488281e+02 4.92067093e-02 9.31626113e+00 1.76826229e+00 1.12832002e+00 1.39530041e-01 9.78972427e-01 4.97067386e+02
2.51953125e+02 4.91556671e-02 9.34823015e+00 1.77824711e+00 1.13573297e+00 1.43143251e-01 9.78691419e-01 5.00189451e+02
2.53417969e+02 4.91036494e-02 9.38100813e+00 1.78524601e+00 1.14026520e+00 1.46484154e-01 9.78361898e-01 5.02016413e+02
2.54882812e+02 4.90506790e-02 9.41358833e+00 1.79231036e+00 1.14483387e+00 1.49898554e-01 9.78031698e-01 5.03857717e+02
2.56347656e+02 4.89974896e-02 9.44604688e+00 1.79944755e+00 1.14944318e+00 1.53377615e-01 9.77701568e-01 5.05715581e+02
2.57812500e+02 4.89441618e-02 9.47838815e+00 1.80665751e+00 1.15409243e+00 1.56948010e-01 9.77371388e-01 5.07589616e+02
2.59277344e+02 4.88902555e-02 9.51061291e+00 1.81393844e+00 1.15878002e+00 1.60589254e-01 9.77040822e-01 5.09478923e+02
2.60742188e+02 4.88347947e-02 9.54273867e+00 1.82129330e+00 1.16350758e+00 1.64284542e-01 9.76710070e-01 5.11384308e+02
2.62207031e+02 4.87777178e-02 9.57476500e+00 1.82872321e+00 1.16827553e+00 1.68056905e-01 9.76379104e-01 5.13305916e+02
2.63671875e+02 4.87197912e-02 9.60673823e+00 1.83623243e+00 1.17308607e+00 1.71923239e-01 9.76048301e-01 5.15244900e+02
2.65136719e+02 4.86611123e-02 9.63863609e+00 1.84381908e+00 1.17793694e+00 1.75870677e-01 9.75717303e-01 5.17200053e+02
2.66601562e+02 4.86015296e-02 9.67044457e+00 1.85147981e+00 1.18282524e+00 1.79911230e-01 9.75385577e-01 5.19169806e+02
2.68066406e+02 4.85412484e-02 9.70506067e+00 1.86192929e+00 1.19049376e+00 1.84374726e-01 9.75030884e-01 5.22345681e+02
